2018-10-09T20:22:16.431-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.442-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.454-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 3ms
2018-10-09T20:22:16.461-0300 I COMMAND  [conn1] command admin.$cmd command: isMaster { ismaster: 1 } numYields:0 reslen:189 locks:{} protocol:op_query 0ms
2018-10-09T20:22:16.466-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.478-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.489-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 3ms
2018-10-09T20:22:16.501-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.513-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.524-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 3ms
2018-10-09T20:22:16.536-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.548-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.560-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.575-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
2018-10-09T20:22:16.592-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 4ms
2018-10-09T20:22:16.605-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 3ms
2018-10-09T20:22:16.618-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: 1000 } ninserted:1000 keysInserted:1000 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 16, w: 16 } }, Database: { acquireCount: { w: 16 } }, Collection: { acquireCount: { w: 16 } } } protocol:op_query 2ms
